,start_at,volume,open,high,low,close,turnover,year,month,day,hour,weekday
1100,1583380800,239.466,8867.5,8912.0,8867.5,8911.0,2133881.526,2020,3,5,12,3.0
1101,1583395200,17334.21,8911.0,9123.0,8909.5,9123.0,158139997.83,2020,3,5,16,3.0
1102,1583409600,2884.498,9123.0,9137.5,9115.0,9115.0,26292199.27,2020,3,5,20,3.0
1103,1583424000,2.0,9115.0,9115.0,9115.0,9115.0,18230.0,2020,3,6,0,4.0
1104,1583438400,1367.09501963,9115.0,9115.0,8091.5,9061.0,12387247.97286743,2020,3,6,4,4.0
1105,1583452800,725.94951182,9061.0,9073.5,8981.0,8981.0,6519752.56565542,2020,3,6,8,4.0
1106,1583467200,0.114,8981.0,20001.0,8091.5,20001.0,2280.114,2020,3,6,12,4.0
1107,1583481600,201.005,20001.0,20001.0,100.0,100.0,20100.5,2020,3,6,16,4.0
1108,1583496000,0.0,100.0,100.0,100.0,100.0,0.0,2020,3,6,20,4.0
1109,1583510400,0.0,100.0,100.0,100.0,100.0,0.0,2020,3,7,0,5.0
1110,1583524800,0.0,100.0,100.0,100.0,100.0,0.0,2020,3,7,4,5.0
1111,1583539200,0.0,100.0,100.0,100.0,100.0,0.0,2020,3,7,8,5.0
1112,1583553600,1.0,100.0,8990.5,100.0,8990.5,8990.5,2020,3,7,12,5.0
1113,1583568000,3.0,8990.5,8990.5,0.5,8990.5,26971.5,2020,3,7,16,5.0
1114,1583582400,0.0,8990.5,8990.5,8990.5,8990.5,0.0,2020,3,7,20,5.0
1115,1583596800,0.26041591,8990.5,8990.5,8700.0,8700.0,2265.618417,2020,3,8,0,6.0
1116,1583611200,0.0,8700.0,8700.0,8700.0,8700.0,0.0,2020,3,8,4,6.0
1117,1583625600,0.73958409,8700.0,8700.0,8700.0,8700.0,6434.381583,2020,3,8,8,6.0
1118,1583640000,0.0,8700.0,8700.0,8700.0,8700.0,0.0,2020,3,8,12,6.0
1119,1583654400,1.62,8700.0,8700.0,7802.0,7802.0,12639.24,2020,3,8,16,6.0
1120,1583668800,0.0,7802.0,7802.0,7802.0,7802.0,0.0,2020,3,8,20,6.0
1121,1583683200,0.0,7802.0,7802.0,7802.0,7802.0,0.0,2020,3,9,0,0.0
1122,1583697600,0.0,7802.0,7802.0,7802.0,7802.0,0.0,2020,3,9,4,0.0
1123,1583712000,0.0,7802.0,7802.0,7802.0,7802.0,0.0,2020,3,9,8,0.0
1124,1583726400,21992.91553983,7802.0,8454.0,7042.0,7559.5,166255445.02334487,2020,3,9,12,0.0
1125,1583740800,0.12000021,7559.5,7559.5,7317.0,7359.0,883.08154539,2020,3,9,16,0.0
1126,1583755200,75109.27564936,7359.0,7838.5,0.5,7743.0,581571121.3529944,2020,3,9,20,0.0
1127,1583769600,119.176,7743.0,7881.0,7743.0,7881.0,939226.056,2020,3,10,0,1.0
1128,1583784000,0.2,7881.0,7892.5,7881.0,7892.5,1578.5,2020,3,10,4,1.0
1129,1583798400,1325.99,7892.5,7932.5,7877.0,7882.0,10451453.18,2020,3,10,8,1.0
1130,1583812800,2943.019,7882.0,8368.5,7850.0,7902.5,23257207.6475,2020,3,10,12,1.0
1131,1583827200,62031.194,7902.5,9148.5,7800.0,9148.5,567492378.309,2020,3,10,16,1.0
1132,1583841600,10696.853,9148.5,9148.5,7840.5,7843.5,83900766.5055,2020,3,10,20,1.0
1133,1583856000,3.0,7843.5,7903.5,7842.0,7903.5,23710.5,2020,3,11,0,2.0
1134,1583870400,0.0,7903.5,7903.5,7903.5,7903.5,0.0,2020,3,11,4,2.0
1135,1583884800,3391.909,7903.5,7967.0,7500.0,7925.0,26880878.825,2020,3,11,8,2.0
1136,1583899200,1461.185,7925.0,7944.5,7830.0,7862.0,11487836.47,2020,3,11,12,2.0
1137,1583913600,958.733,7862.0,7926.0,7763.5,7830.0,7506879.39,2020,3,11,16,2.0
1138,1583928000,794.055,7830.0,7895.0,7755.0,7767.0,6167425.185,2020,3,11,20,2.0
1139,1583942400,892.393,7767.0,7839.0,7614.5,7826.0,6983867.618,2020,3,12,0,3.0
1140,1583956800,811.958,7826.0,7978.0,7808.0,7929.0,6438014.982,2020,3,12,4,3.0
1141,1583971200,8292.067,7929.0,7960.0,5000.0,7666.0,63566985.622,2020,3,12,8,3.0
1142,1583985600,23722.067,7666.0,7666.5,7339.0,7388.5,175270492.0295,2020,3,12,12,3.0
1143,1584000000,9275.463,7388.5,7460.0,5519.0,6019.0,55829011.797,2020,3,12,16,3.0
1144,1584014400,5337.219,6019.0,6262.0,5704.5,6117.5,32650437.2325,2020,3,12,20,3.0
1145,1584028800,4725.47,6117.5,6203.5,5948.5,6003.0,28366996.41,2020,3,13,0,4.0
1146,1584043200,6543.478,6003.0,6027.0,4442.0,4781.0,31284368.318,2020,3,13,4,4.0
1147,1584057600,8367.404,4781.0,5454.0,3777.5,5137.0,42983354.348,2020,3,13,8,4.0
1148,1584072000,5172.322,5137.0,5420.0,4677.0,5360.0,27723645.92,2020,3,13,12,4.0
1149,1584086400,5496.661,5360.0,5641.0,5102.0,5372.0,29528062.892,2020,3,13,16,4.0
1150,1584100800,5359.4,5372.0,5906.5,4907.5,5186.0,27793848.4,2020,3,13,20,4.0
1151,1584115200,5570.8,5186.0,5462.0,4800.0,5356.0,29837204.8,2020,3,14,0,5.0
1152,1584129600,5235.13,5356.0,5666.5,5230.0,5549.5,29052353.935,2020,3,14,4,5.0
1153,1584144000,5168.442,5549.5,5600.5,5293.0,5544.0,28653842.448,2020,3,14,8,5.0
1154,1584158400,4444.665,5544.0,5544.0,5364.0,5470.5,24314539.8825,2020,3,14,12,5.0
1155,1584172800,5286.428,5470.5,5470.5,5151.0,5422.0,28663012.616,2020,3,14,16,5.0
1156,1584187200,5072.32,5422.0,5422.0,5247.0,5290.0,26832572.8,2020,3,14,20,5.0
1157,1584201600,5047.72,5290.0,5456.0,5231.5,5353.0,27020445.16,2020,3,15,0,6.0
1158,1584216000,5094.18,5353.0,5389.0,5047.0,5156.0,26265592.08,2020,3,15,4,6.0
1159,1584230400,5058.7,5156.0,5233.0,5068.0,5149.0,26047246.3,2020,3,15,8,6.0
1160,1584244800,5055.81,5149.0,5305.0,5149.0,5250.0,26543002.5,2020,3,15,12,6.0
1161,1584259200,4575.552,5250.0,5440.5,5181.0,5397.0,24694254.144,2020,3,15,16,6.0
1162,1584273600,4988.56,5397.0,5553.5,5226.0,5304.0,26459322.24,2020,3,15,20,6.0
1163,1584288000,5091.42,5304.0,5350.0,5223.0,5290.0,26933611.8,2020,3,16,0,0.0
1164,1584302400,5314.64,5290.0,5905.0,5157.0,5341.0,28385492.24,2020,3,16,4,0.0
1165,1584316800,4880.673,5341.0,5341.0,5159.0,5242.0,25584487.866,2020,3,16,8,0.0
1166,1584331200,8519.518,5242.0,5268.0,4726.0,4800.5,40897946.159,2020,3,16,12,0.0
1167,1584345600,7977.717,4800.5,4913.0,4000.0,4542.0,36234790.614,2020,3,16,16,0.0
1168,1584360000,4390.094,4542.0,20001.0,4497.0,5148.0,22600203.912,2020,3,16,20,0.0
1169,1584374400,5124.91,5148.0,5148.0,4807.0,4897.0,25096684.27,2020,3,17,0,1.0
1170,1584388800,5101.138,4897.0,5023.5,4810.0,5008.0,25546499.104,2020,3,17,4,1.0
1171,1584403200,5271.648,5008.0,5359.0,4896.0,5285.0,27860659.68,2020,3,17,8,1.0
1172,1584417600,5011.485,5285.0,5380.0,5187.5,5325.5,26688663.3675,2020,3,17,12,1.0
1173,1584432000,4903.152,5325.5,5396.0,5135.0,5236.0,25672903.872,2020,3,17,16,1.0
