"","id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
"185",3896197,"BTCUSDT",240,240,1584590400,1584590400,11393.405,5256,5701,5247.5,5389,61399059.545,2020,3,19,12,3,5586
"186",3896701,"BTCUSDT",240,240,1584604800,1584604800,4732.004,5389,5611.5,5340.5,5586,26432974.344,2020,3,19,16,3,5867
"187",3897257,"BTCUSDT",240,240,1584619200,1584619200,4839.348,5586,5890,5582,5867,28392454.716,2020,3,19,20,3,6178
"188",3897785,"BTCUSDT",240,240,1584633600,1584633600,5127.33,5867,6307.5,5789.5,6178,31676644.74,2020,3,20,0,4,6139.5
"189",3898287,"BTCUSDT",240,240,1584648000,1584648000,5310.502,6178,6367.5,6112.5,6139.5,32603827.029,2020,3,20,4,4,6123
"190",3898796,"BTCUSDT",240,240,1584662400,1584662400,6272.952,6139.5,6215.5,4621.5,6123,38409285.096,2020,3,20,8,4,6289.5
"191",3899310,"BTCUSDT",240,240,1584676800,1584676800,5938.253,6123,6299.5,6080,6289.5,37348642.2435,2020,3,20,12,4,6656
"192",3899816,"BTCUSDT",240,240,1584691200,1584691200,8702.924,6289.5,6901,6264.5,6656,57926662.144,2020,3,20,16,4,6605.5
"193",3900354,"BTCUSDT",240,240,1584705600,1584705600,11441.465,6656,6705.5,6431.5,6605.5,75576597.0575,2020,3,20,20,4,6185.5
"194",3900897,"BTCUSDT",240,240,1584720000,1584720000,8420.879,6605.5,6657,6185.5,6185.5,52087347.0545,2020,3,21,0,5,6205.5
"195",3901423,"BTCUSDT",240,240,1584734400,1584734400,8657.739,6185.5,6361.5,5663,6205.5,53725599.3645,2020,3,21,4,5,6249
"196",3901966,"BTCUSDT",240,240,1584748800,1584748800,4695.812,6205.5,6369,6006.5,6249,29344129.188,2020,3,21,8,5,6149.5
"197",3902557,"BTCUSDT",240,240,1584763200,1584763200,4584.09,6249,6309.5,6030,6149.5,28189861.455,2020,3,21,12,5,6051
"198",3903178,"BTCUSDT",240,240,1584777600,1584777600,4488.465,6149.5,6180.5,5842,6051,27159701.715,2020,3,21,16,5,6196
"199",3903755,"BTCUSDT",240,240,1584792000,1584792000,4377.157,6051,6213.5,6046,6196,27120864.772,2020,3,21,20,5,6195.5
"200",3904342,"BTCUSDT",240,240,1584806400,1584806400,4214.999,6196,6209,6040,6195.5,26114026.3045,2020,3,22,0,6,9612.5
"201",3762548,"BTCUSDT",240,240,1581940800,1581940800,1758.816,9000,9800,9000,9612.5,16906618.8,2020,2,17,20,0,9597
"202",3762763,"BTCUSDT",240,240,1581955200,1581955200,174.072,9612.5,9652.5,9590,9597,1670568.984,2020,2,18,0,1,9597
"203",3763331,"BTCUSDT",240,240,1581969600,1581969600,0,9597,9597,9597,9597,0,2020,2,18,4,1,9600
"204",3763729,"BTCUSDT",240,240,1581984000,1581984000,747.95,9597,9999,9000,9600,7180320,2020,2,18,8,1,9600
"205",3765119,"BTCUSDT",240,240,1581998400,1581998400,0,9600,9600,9600,9600,0,2020,2,18,12,1,9600
"206",3765519,"BTCUSDT",240,240,1582012800,1582012800,0,9600,9600,9600,9600,0,2020,2,18,16,1,9600
"207",3765918,"BTCUSDT",240,240,1582027200,1582027200,0,9600,9600,9600,9600,0,2020,2,18,20,1,9600
"208",3766319,"BTCUSDT",240,240,1582041600,1582041600,0,9600,9600,9600,9600,0,2020,2,19,0,2,9600
"209",3766719,"BTCUSDT",240,240,1582056000,1582056000,0,9600,9600,9600,9600,0,2020,2,19,4,2,11300
"210",3767118,"BTCUSDT",240,240,1582070400,1582070400,2.205,9600,20000,9600,11300,24916.5,2020,2,19,8,2,10067.5
"211",3769981,"BTCUSDT",240,240,1582084800,1582084800,85.669,11300,20000,10067.5,10067.5,862472.6575,2020,2,19,12,2,10208
"212",3770781,"BTCUSDT",240,240,1582099200,1582099200,215.975,10067.5,10212.5,10039,10208,2204672.8,2020,2,19,16,2,10135
"213",3771579,"BTCUSDT",240,240,1582113600,1582113600,845.485,10208,10249,10086.5,10135,8568990.475,2020,2,19,20,2,10161
"214",3772304,"BTCUSDT",240,240,1582128000,1582128000,476.036,10135,10265.5,10122.5,10161,4837001.796,2020,2,20,0,3,9603
"215",3773176,"BTCUSDT",240,240,1582142400,1582142400,2629.251,10161,10161,9384,9603,25248697.353,2020,2,20,4,3,9568.5
"216",3773970,"BTCUSDT",240,240,1582156800,1582156800,991.401,9603,9647,9522,9568.5,9486220.4685,2020,2,20,8,3,9604
"217",3774770,"BTCUSDT",240,240,1582171200,1582171200,633.015,9568.5,9615,9550,9604,6079476.06,2020,2,20,12,3,9579.5
"218",3775580,"BTCUSDT",240,240,1582185600,1582185600,970.043,9604,9630,9546,9579.5,9292526.9185,2020,2,20,16,3,9584.5
"219",3776373,"BTCUSDT",240,240,1582200000,1582200000,354.619,9579.5,9604.5,9539,9584.5,3398845.8055,2020,2,20,20,3,9535.5
"220",3777163,"BTCUSDT",240,240,1582214400,1582214400,1885.794,9584.5,9665.5,9438.5,9535.5,17981988.687,2020,2,21,0,4,9602.5
"221",3777920,"BTCUSDT",240,240,1582228800,1582228800,463.943,9535.5,9637,9535.5,9602.5,4455012.6575,2020,2,21,4,4,9690
"222",3778689,"BTCUSDT",240,240,1582243200,1582243200,544.976,9602.5,9696.5,9584.5,9690,5280817.44,2020,2,21,8,4,9677
"223",3779568,"BTCUSDT",240,240,1582257600,1582257600,374.263,9690,9725,9660,9677,3621743.051,2020,2,21,12,4,9703.5
"224",3780367,"BTCUSDT",240,240,1582272000,1582272000,181.957,9677,9703.5,9630,9703.5,1765619.7495,2020,2,21,16,4,9721.5
"225",3781103,"BTCUSDT",240,240,1582286400,1582286400,512.63,9703.5,9740,9696,9721.5,4983532.545,2020,2,21,20,4,9683
"226",3781961,"BTCUSDT",240,240,1582300800,1582300800,218.672,9721.5,9721.5,9670,9683,2117400.976,2020,2,22,0,5,9680.5
"227",3782772,"BTCUSDT",240,240,1582315200,1582315200,708.129,9683,9702,9609.5,9680.5,6855042.7845,2020,2,22,4,5,9671.5
"228",3783569,"BTCUSDT",240,240,1582329600,1582329600,85.39,9680.5,9692.5,9645,9671.5,825849.385,2020,2,22,8,5,9614
"229",3784332,"BTCUSDT",240,240,1582344000,1582344000,249.873,9671.5,9671.5,9574,9614,2402279.022,2020,2,22,12,5,9633.5
"230",3785146,"BTCUSDT",240,240,1582358400,1582358400,185.397,9614,9652,9612.5,9633.5,1786021.9995,2020,2,22,16,5,9635
"231",3785965,"BTCUSDT",240,240,1582372800,1582372800,212.45,9633.5,9659.5,9626,9635,2046955.75,2020,2,22,20,5,9671
"232",3786765,"BTCUSDT",240,240,1582387200,1582387200,77.494,9635,9674.5,9635,9671,749444.474,2020,2,23,0,6,9685
"233",3787567,"BTCUSDT",240,240,1582401600,1582401600,71.16,9671,9693.5,9671,9685,689184.6,2020,2,23,4,6,9746
"234",3788173,"BTCUSDT",240,240,1582416000,1582416000,119.295,9685,9746,9685,9746,1162649.07,2020,2,23,8,6,9891.5
"235",3789152,"BTCUSDT",240,240,1582430400,1582430400,564.583,9746,9923,9746,9891.5,5584572.7445,2020,2,23,12,6,9835
"236",3789926,"BTCUSDT",240,240,1582444800,1582444800,546.43,9891.5,10002,9835,9835,5374139.05,2020,2,23,16,6,9910.5
"237",3790773,"BTCUSDT",240,240,1582459200,1582459200,64.08,9835,9910.5,9835,9910.5,635064.84,2020,2,23,20,6,9899.5
"238",3791485,"BTCUSDT",240,240,1582473600,1582473600,38.22,9910.5,9910.5,9868.5,9899.5,378358.89,2020,2,24,0,0,9963
"239",3792303,"BTCUSDT",240,240,1582488000,1582488000,394.662,9899.5,9963,9857,9963,3932017.506,2020,2,24,4,0,9768.5
"240",3793155,"BTCUSDT",240,240,1582502400,1582502400,1679.792,9963,9980.5,9587,9768.5,16409048.152,2020,2,24,8,0,9748.5
"241",3793945,"BTCUSDT",240,240,1582516800,1582516800,200.196,9768.5,9768.5,9700,9748.5,1951610.706,2020,2,24,12,0,9799
"242",3794752,"BTCUSDT",240,240,1582531200,1582531200,327.809,9748.5,9799,9719.5,9799,3212200.391,2020,2,24,16,0,9700.5
"243",3795577,"BTCUSDT",240,240,1582545600,1582545600,775.768,9799,9835.5,9700,9700.5,7525337.484,2020,2,24,20,0,9632.5
"244",3796379,"BTCUSDT",240,240,1582560000,1582560000,716.919,9700.5,9728,9507,9632.5,6905722.2675,2020,2,25,0,1,9669.5
"245",3797137,"BTCUSDT",240,240,1582574400,1582574400,434.32,9632.5,9669.5,9585.5,9669.5,4199657.24,2020,2,25,4,1,9587.5
"246",3797965,"BTCUSDT",240,240,1582588800,1582588800,205.96,9669.5,9674,9578,9587.5,1974641.5,2020,2,25,8,1,9534.5
"247",3798777,"BTCUSDT",240,240,1582603200,1582603200,440.4,9587.5,9613,9508.5,9534.5,4198993.8,2020,2,25,12,1,9599
"248",3799570,"BTCUSDT",240,240,1582617600,1582617600,4064.728,9534.5,9600,9509,9599,39017324.072,2020,2,25,16,1,9395.5
"249",3800370,"BTCUSDT",240,240,1582632000,1582632000,4732.419,9599,9673,9382.5,9395.5,44463442.7145,2020,2,25,20,1,9350
"250",3801172,"BTCUSDT",240,240,1582646400,1582646400,567.885,9395.5,9433.5,9321,9350,5309724.75,2020,2,26,0,2,9349
"251",3801919,"BTCUSDT",240,240,1582660800,1582660800,622.253,9350,9408,9313.5,9349,5817443.297,2020,2,26,4,2,9164
"252",3802750,"BTCUSDT",240,240,1582675200,1582675200,1013.597,9349,9378,9135,9164,9288602.908,2020,2,26,8,2,9157
"253",3803554,"BTCUSDT",240,240,1582689600,1582689600,2238.404,9164,9223.5,9144,9157,20497065.428,2020,2,26,12,2,9183
"254",3804369,"BTCUSDT",240,240,1582704000,1582704000,501.895,9157,9200,9150,9183,4608901.785,2020,2,26,16,2,9040
"255",3805124,"BTCUSDT",240,240,1582718400,1582718400,3347.472,9183,9281,9006.5,9040,30261146.88,2020,2,26,20,2,8829
"256",3805938,"BTCUSDT",240,240,1582732800,1582732800,2723.016,9040,9040,8674,8829,24041508.264,2020,2,27,0,3,8793.5
"257",3806759,"BTCUSDT",240,240,1582747200,1582747200,815.754,8829,8855.5,8733.5,8793.5,7173332.799,2020,2,27,4,3,8740
"258",3807560,"BTCUSDT",240,240,1582761600,1582761600,1330.947,8793.5,8793.5,8547.5,8740,11632476.78,2020,2,27,8,3,8820.5
"259",3808362,"BTCUSDT",240,240,1582776000,1582776000,570.533,8740,8820.5,8700,8820.5,5032386.3265,2020,2,27,12,3,8792.5
"260",3809160,"BTCUSDT",240,240,1582790400,1582790400,488.62,8820.5,8850,8750.5,8792.5,4296191.35,2020,2,27,16,3,8850
"261",3809925,"BTCUSDT",240,240,1582804800,1582804800,740.535,8792.5,8928.5,8789,8850,6553734.75,2020,2,27,20,3,8904
"262",3810764,"BTCUSDT",240,240,1582819200,1582819200,535.787,8850,8958,8850,8904,4770647.448,2020,2,28,0,4,8800.5
"263",3811549,"BTCUSDT",240,240,1582833600,1582833600,778.729,8904,8914.5,8689.5,8800.5,6853204.5645,2020,2,28,4,4,8844
"264",3812357,"BTCUSDT",240,240,1582848000,1582848000,570.432,8800.5,8899,8800,8844,5044900.608,2020,2,28,8,4,8737.5
"265",3813165,"BTCUSDT",240,240,1582862400,1582862400,454.728,8844,8857,8714.5,8737.5,3973185.9,2020,2,28,12,4,8574
"266",3813965,"BTCUSDT",240,240,1582876800,1582876800,573.857,8737.5,8779,8551.5,8574,4920249.918,2020,2,28,16,4,8689
"267",3814759,"BTCUSDT",240,240,1582891200,1582891200,1569.903,8574,8706.5,8466,8689,13640887.167,2020,2,28,20,4,8587.5
"268",3815557,"BTCUSDT",240,240,1582905600,1582905600,616.628,8689,8730.5,8498.5,8587.5,5295292.95,2020,2,29,0,5,8777.5
"269",3816311,"BTCUSDT",240,240,1582920000,1582920000,53.238,8587.5,8777.5,8587.5,8777.5,467296.545,2020,2,29,4,5,8777.5
"270",3817061,"BTCUSDT",240,240,1582934400,1582934400,0,8777.5,8777.5,8777.5,8777.5,0,2020,2,29,8,5,8756.5
"271",3817463,"BTCUSDT",240,240,1582948800,1582948800,0.001,8777.5,8777.5,8756.5,8756.5,8.7565,2020,2,29,12,5,8756.5
"272",3818555,"BTCUSDT",240,240,1582963200,1582963200,0,8756.5,8756.5,8756.5,8756.5,0,2020,2,29,16,5,8603
"273",3818954,"BTCUSDT",240,240,1582977600,1582977600,0.8,8756.5,8756.5,8603,8603,6882.4,2020,2,29,20,5,8603
"274",3820302,"BTCUSDT",240,240,1582992000,1582992000,0,8603,8603,8603,8603,0,2020,3,1,0,6,8556.5
"275",3820702,"BTCUSDT",240,240,1583006400,1583006400,14.335,8603,8632.5,8556.5,8556.5,122657.4275,2020,3,1,4,6,8657
"276",3821955,"BTCUSDT",240,240,1583020800,1583020800,144.847,8556.5,8657,8527.5,8657,1253940.479,2020,3,1,8,6,8549
"277",3822579,"BTCUSDT",240,240,1583035200,1583035200,0.001,8657,8657,8549,8549,8.549,2020,3,1,12,6,8635.5
"278",3823455,"BTCUSDT",240,240,1583049600,1583049600,74.518,8549,8635.5,8549,8635.5,643500.189,2020,3,1,16,6,8601.5
"279",3824357,"BTCUSDT",240,240,1583064000,1583064000,158.898,8635.5,8689.5,8563,8601.5,1366761.147,2020,3,1,20,6,8547
